address,district,area,bedrooms,garage,type,rent,total
Rua Oscar Freire,Cerqueira César,87,2,0,Apartamento,4600,6009
Rua José Rafaeli,Socorro,85,3,1,Apartamento,1800,2491
Rua Décio Reis,Alto de Pinheiros,310,4,4,Casa,15000,21050
Praça Marechal Deodoro,Santa Cecília,30,1,0,Studio e kitnet,1200,1760
Rua dos Jatobás,Vila Parque Jabaquara,50,2,1,Apartamento,1912,3063
Avenida Nove de Julho,Bela Vista,35,1,1,Studio e kitnet,3750,4445
Rua Marie Nader Calfat,Jardim Ampliação,41,1,1,Apartamento,1997,2634
Rua Stela Marina,Brooklin Paulista,24,1,0,Studio e kitnet,3010,3567
Rua Custódio de Mendonça,Santana,37,2,0,Apartamento,3500,3785
Rua Tagipuru,Barra Funda,84,2,1,Apartamento,2400,4031
Rua João José Pacheco,Jardim Vila Mariana,28,1,0,Studio e kitnet,2190,3049
Rua Tucuna,Pompeia,55,2,1,Apartamento,3370,4820
Rua Leandro Teixeira,Paraisópolis,42,2,1,Apartamento,1500,2136
Rua Dona Tecla,Jardim Flor da Montanha,59,2,1,Apartamento,3000,3606
Rua Almirante Marques Leão,Bela Vista,98,1,0,Apartamento,5810,7493
Rua Francisco Giuliani,Vila Brasilina,50,1,0,Casa,1330,1386
Rua Batataes,Jardim Paulista,32,1,1,Apartamento,2480,3842
Avenida Santo Amaro,Vila Nova Conceição,27,1,0,Studio e kitnet,3970,4473
Rua Santo Elias,Parque São Jorge,42,1,1,Apartamento,1700,2555
Rua Vicente Biondo,Vila Ester (zona Norte),35,1,0,Casa,1150,1234
Rua Salvador Iacona,Vila Santa Catarina,51,2,1,Apartamento,1999,3033
Rua das Giestas,Vila Bela,69,2,1,Apartamento,5200,6050
Rua Lima E Silva,Ipiranga,30,1,0,Casa,850,887
Rua Tangará,Vila Mariana,65,1,1,Apartamento,6710,8044
Rua Agissê,Sumarezinho,28,1,0,Apartamento,3585,4579
Rua São Benedito,Jardim Novo Santo Amaro,70,1,2,Apartamento,8500,10080
Rua Sampaio Viana,Paraíso,95,3,1,Apartamento,3999,5546
Rua João Antônio de Oliveira,Mooca,105,3,2,Apartamento,5000,6434
Rua Brigadeiro Galvão,Barra Funda,37,1,1,Apartamento,3100,3835
Rua Desembargador Aragão,Vila Mariana,23,1,0,Studio e kitnet,2050,2636
Rua Bartolomeu Gusmão,Vila Mariana,25,1,0,Studio e kitnet,2710,3365
Avenida do Taboão,Taboão,56,2,1,Apartamento,1700,2361
Rua Batataes,Jardim Paulista,55,1,1,Apartamento,5000,7137
Rua Antônio Aggio,Jardim Ampliação,49,2,1,Apartamento,2400,2890
Rua Leopoldo Couto de Magalhães Júnior,Itaim Bibi,75,2,2,Apartamento,6800,9130
Rua Bandeira Paulista,Itaim Bibi,49,1,1,Apartamento,4000,6347
Rua Artur Rodrigues Alcântara,Jardim Vila Galvão,47,2,1,Apartamento,2430,2861
Rua Urano,Aclimação,80,3,1,Apartamento,4500,6028
R. Jaguaribe,Vila Buarque,47,2,1,Apartamento,2100,3048
Rua Aimberê,Perdizes,60,2,1,Apartamento,3000,4346
Rua Martim Burchard,Brás,40,1,0,Apartamento,2500,3196
Avenida Duquesa de Goiás,Real Parque,85,3,2,Apartamento,3100,4625
Rua Capote Valente,Pinheiros,90,2,1,Apartamento,4044,5234
Praça Américo Jacomino,Sumarezinho,30,1,1,Apartamento,3000,3714
Rua Pires da Mota,Aclimação,75,3,1,Apartamento,2000,3797
Rua da Consolação,Consolação,73,2,1,Apartamento,2950,4885
Rua Oscar Freire,Jardim Paulista,159,3,2,Apartamento,5000,7227
Avenida Guapira,Tucuruvi,42,2,1,Apartamento,1914,2700
Rua Isabel de Castela,Vila Madalena,88,2,2,Apartamento,9200,11130
Rua Lisboa,Pinheiros,105,3,1,Apartamento,12000,13580
Rua Pais de Linhares,Jardim Maringá,140,3,2,Casa,2447,2610
Rua dos Pinheiros,Pinheiros,72,2,1,Apartamento,10000,11760
Alameda dos Nhambiquaras,Indianópolis,94,3,3,Apartamento,5000,7024
Rua Doutor Jesuíno Maciel,Brooklin,24,1,0,Studio e kitnet,2620,3101
Rua Doutor Andrade Pertence,Vila Olímpia,96,2,2,Apartamento,8500,10580
Rua Doutor Nicolau de Sousa Queirós,Vila Mariana,28,1,0,Studio e kitnet,2320,3431
Rua Santo Irineu,Bosque da Saúde,80,3,2,Apartamento,3000,4814
Rua Itapeva,Bela Vista,52,1,1,Apartamento,2200,4134
"Brooklin, São Paulo - Sp, 04564-000, Brasil",Brooklin,198,3,3,Apartamento,12000,15980
Rua Coronel Francisco Júlio César Alfieri,Vila Sao Paulo,70,2,1,Apartamento,1900,3274
Rua Visconde de Itaboraí,Vila Azevedo,90,4,2,Apartamento,4800,6985
Rua Desembargador Bandeira de Mello,Santo Amaro,111,3,0,Apartamento,1650,2678
Rua Américo Brasiliense,Chácara Santo Antônio (zona Sul),28,1,1,Apartamento,2000,3835
Rua Paula Ney,Vila Mariana,67,2,2,Apartamento,2700,4720
Rua José Pereira de Carvalho,Vila Lageado,102,3,2,Apartamento,5000,6332
Rua da Mata,Itaim Bibi,86,2,1,Apartamento,4200,5709
Rua Pechi,Vila Pierina,80,2,2,Casa,3500,3648
Rua Central,Parque Santo Antônio,52,1,0,Casa,900,934
Rua João Cachoeira,Vila Nova Conceição,109,2,2,Apartamento,10950,14070
Avenida Parada Pinto,Santa Inês ,70,3,1,Apartamento,1725,2866
Rua Tabapuã,Itaim Bibi,85,3,1,Apartamento,5300,7151
Avenida Chibarás,Planalto Paulista,24,1,0,Studio e kitnet,25000,26710
Alameda Joaquim Eugênio de Lima,Jardim Paulista,45,1,0,Apartamento,2800,3608
Rua dos Jacintos,Mirandópolis,44,1,1,Apartamento,1600,2809
Rua Santa Teresa de Jesus,Vila Santa Terezinha (zona Norte),50,2,0,Apartamento,1358,1493
Rua Bueno Brandão,Vila Nova Conceição,167,2,3,Apartamento,15000,19540
Avenida Ibijaú,Moema,68,2,2,Apartamento,5250,8369
Rua Henrique Fausto Lancelotti,Vila Congonhas,43,1,1,Apartamento,2000,3847
Rua José Baltore,Jardim Mangalot,84,3,2,Casa,2700,2814
Rua do Manifesto,Ipiranga,110,2,1,Casa,2800,3040
Rua São Quirino,Vila Guilherme,34,2,0,Apartamento,1500,1858
Rua Brasília,Rudge Ramos,75,1,1,Casa,1000,1112
Rua Vitor de Queiroz Matos,Parque São Lucas,75,1,0,Casa,1150,1291
Rua São Paulo,Liberdade,45,1,0,Studio e kitnet,1120,1414
Avenida Santa Inês,Parque Mandaqui,55,2,1,Apartamento,1820,1891
Rua Antônio Rodrigues Passos,Jardim Cidade Pirituba,125,1,1,Casa,1390,1449
Rua Vinte E Oito de Setembro,Vila Dom Pedro I,80,2,0,Casa,2400,2502
Rua Antônio de Godói,Centro,30,1,0,Studio e kitnet,1100,1394
Rua João Almendra,São José,55,1,1,Casa,1350,1407
Rua Nancy Silva Cabral,Parque Continental Ii,120,3,1,Casa,2280,2551
Rua José Henrique,Vila Guilherme,35,1,0,Apartamento,950,1237
Rua Padre Venâncio de Resende,Vila Bandeirantes,60,3,0,Casa,1499,1752
Rua Antônio de Godói,Centro,40,1,0,Apartamento,1300,1697
Rua José Bueno,Vila Isolina Mazzei,80,2,1,Casa em condomínio,1950,2283
Rua Porto Alegre,Vila Bertioga,45,1,0,Studio e kitnet,1100,1190
Rua Cônego Vicente,Vila Medeiros,185,3,2,Casa,4600,4871
Rua Joaquim Norberto de Brito,Jardim Avelino,200,3,5,Casa,3500,3947
Avenida dos Ourives,Parque Bristol,44,2,0,Apartamento,1100,1404
Rua Antônio Chagas,Chácara Santo Antônio (zona Sul),100,2,0,Apartamento,2825,3059
Rua Guarapuava,Mooca,37,1,0,Apartamento,1900,2324
Rua Dom Bosco,Mooca,80,3,0,Apartamento,1600,1862
Rua Albino Boldasso Gabril,Vila Cruzeiro,44,1,0,Apartamento,1200,1391
Rua Serra de Botucatu,Vila Gomes Cardim,55,1,0,Apartamento,1924,1998
Avenida das Cerejeiras,Jardim Japao,60,2,0,Apartamento,1820,1950
Rua Itaici,Santa Teresinha,126,3,2,Casa,4300,4678
Rua Glicério,Liberdade,60,1,0,Apartamento,1040,1530
Rua Antônio Cardoso,Jardim Terezópolis,90,2,1,Casa,1400,1500
Rua Francisco Correa Dutra,Jardim Maria Luiza,150,3,0,Casa,2400,2631
Rua Giacomo Cozzarelli,Vila Santa Teresa (zona Sul),48,2,1,Apartamento,1150,1509
Rua Lapa,Paulicéia,225,2,2,Casa,3470,3873
Av Eng. Armando de Arruda Pereira,Vila do Encontro,44,1,1,Apartamento,1280,1863
Rua Anjo Custódio,Vila Formosa,40,2,0,Apartamento,1500,1708
Rua Fábio Lopes dos Santos Luz,Panamby,57,1,1,Apartamento,3721,4495
Rua Domingos Paiva,Brás,70,2,1,Apartamento,5700,6912
Rua das Gamboas,Vila Mazzei,70,1,0,Casa,1250,1303
Rua Nova Brasília,Jardim Dona Sinhá,45,2,1,Apartamento,1200,1527
Rua Cônego Luís Gonzaga Biazi,Carandiru,40,1,0,Studio e kitnet,1350,1612
Rua Paula Ney,Vila Mariana,75,2,0,Casa,2900,3224
Rua Antônio José Loureiro,Água Rasa,100,3,0,Casa,2000,2189
Rua Coronel Luís Schimidt,Vila das Belezas,40,1,0,Apartamento,1500,1958
Rua Luís do Paço,Tatuapé,31,1,0,Studio e kitnet,850,1314
Rua José Benedito Salinas,Jardim Itapeva,68,2,1,Apartamento,2440,3101
Rua Nova Brasília,Jardim Dona Sinhá,47,2,1,Apartamento,1290,1626
Rua do Lavapés,Cambuci,28,1,0,Apartamento,1690,2084
Rua Aureliano do Amaral,Vila Nova Esperança,125,3,2,Casa,2250,2346
Avenida São João,República,70,1,0,Apartamento,1131,1616
Rua Paschoalina Belloti,Jardim City,39,2,1,Apartamento,1150,1524
Rua Aurélia,Vila Romana,60,2,0,Casa,1850,2005
Travessa Geraldo Ferraz,Vila Santista,85,1,1,Casa,1660,1730
Rua Juiz de Fora,Vila Ema,36,2,0,Apartamento,1500,1858
Rua Murilo Furtado,Parque Vitoria,110,2,1,Casa,1816,2108
Rua Santa Germana,Vila Buenos Aires,50,1,0,Casa em condomínio,890,1140
Rua Capitão Lorena,Vila Invernada,150,3,2,Casa em condomínio,3900,4635
Rua Asdrúbal do Nascimento,Bela Vista,28,1,0,Apartamento,1700,2186
"Av. Vila Ema - Vila Ema, São Paulo - Sp, Brasil",Vila Ema,27,1,0,Apartamento,1150,1440
Rua Fernando Torquato,Sapopemba,60,2,0,Casa em condomínio,1500,1609
Rua Firmiano Cardoso,Chácara Cruzeiro do Sul,46,2,1,Apartamento,1500,1638
Rua Dom Miguel Costa,Vila Gumercindo,140,3,1,Casa,2990,3274
Rua José Sebastião de Sá,Jardim do Carmo,104,2,1,Casa em condomínio,3700,4112
Rua Abílio,Jardim Brasil (zona Norte),60,2,0,Apartamento,1545,1620
Praça Conceição do Herval,Chácara Santo Antônio (zona Leste),43,1,0,Apartamento,1150,1377
Rua Piquinhu,Vila Ré,45,1,0,Casa,1280,1335
Rua Ronaldo de Carvalho,Jardim São Paulo(zona Norte),75,2,2,Casa,2800,2934
Parque Dom Pedro I,Vila Invernada,49,2,0,Apartamento,1800,2053
Rua Sebastião de Andrade,Vila Matilde,50,1,0,Apartamento,1256,1474
Rua Maria José de Jesus Miranda,Vila Iório,120,2,4,Casa,2600,2710
Rua Baía Grande,Vila Alpina,60,3,1,Apartamento,2750,3356
Rua Marambaia,Casa Verde,28,1,0,Apartamento,2040,2468
Rua Doutor Roberto Feijó,Parque da Vila Prudente,50,2,1,Apartamento,2380,3013
Parque Dom Pedro I,Vila Invernada,47,2,0,Apartamento,1800,2053
Rua Doutor Elias Chaves,Campos Elíseos,25,1,0,Studio e kitnet,910,1205
Avenida Mendes da Rocha,Jardim Brasil (zona Norte),70,1,0,Apartamento,1000,1038
Avenida Cásper Líbero,Centro Histórico de São Paulo,90,2,0,Apartamento,1900,2374
Rua Jaguari,Bosque da Saúde,167,4,2,Casa,3900,3965
Rua Santo Irineu,Bosque da Saúde,82,2,1,Casa,3400,3680
Rua Augusto Tolle,Santana,75,2,1,Casa,2950,3242
Rua Foz do Jutaí,Vila Água Funda,64,1,1,Casa,1600,1668
Rua das Heras,Vila Lucia,50,2,0,Apartamento,1655,1878
Rua Pires da Mota,Aclimação,65,1,0,Casa,1800,1876
Rua Francisco Otaviano,Vila Humaitá,63,2,1,Apartamento,2200,2308
Avenida dos Ourives,Jardim São Savério,52,2,1,Apartamento,1270,1879
Rua Albino Boldasso Gabril,Vila Cruzeiro,37,1,0,Casa,1350,1551
Rua Bela Cintra,Consolação,55,1,1,Apartamento,3300,4309
Rua Oneyda Alvarenga,Vila da Saúde,62,2,1,Apartamento,2000,2979
Rua Guaricanga,Lapa,60,1,1,Casa,2410,2512
Avenida Leôncio de Magalhães,Jardim São Paulo,38,1,1,Studio e kitnet,1890,2310
Rua Capiri,Vila Nova Mazzei,150,3,2,Casa,2600,2738
Rua Embiruçú,Vila Beatriz,200,3,3,Casa,2700,2873
Rua Engenheiro Bianor,Butantã,26,1,0,Apartamento,3200,3738
Rua Alexandre Bening,Jardim Inga,55,1,0,Casa,600,671
Rua Luiz Coladello,Parque Continental Ii,60,1,0,Casa,1000,1072
Rua Doutor Teodoro Quartim Barbosa,Vila São Francisco,55,2,1,Apartamento,3000,3669
Rua Califórnia,Cidade Monções,70,2,1,Casa,3800,3961
Avenida Cristo Rei,Vila Pereira Barreto,89,2,2,Casa em condomínio,2040,2460
Rua Camaragibe,Barra Funda,38,1,0,Studio e kitnet,1150,1622
Rua São Diogo,Vila Araguaia,69,2,1,Casa em condomínio,2200,2293
Rua Nicola Nicodemo,Sítio do Mandaqui,45,1,0,Casa,890,928
Rua Rodovalho da Fonseca,Pari,84,3,2,Apartamento,5750,6938
Rua Barão de Melgaço,Real Parque,112,2,2,Casa em condomínio,3740,5343
Rua Dr. Rubens Meireles,Várzea da Barra Funda,48,1,1,Apartamento,3200,4023
Rua Platina,Santa Rita,60,1,0,Casa,1600,1816
Avenida Waldemar Carlos Pereira,Vila Talarico,70,2,0,Apartamento,1700,1766
Rua Ipanema,Mooca,67,2,1,Apartamento,3340,3969
Rua Jeni Klabin Segall,Sítio do Mandaqui,45,1,0,Casa,650,707
Rua Lucinda Rabêlo,Vila Milton,57,1,1,Apartamento,1200,1597
Rua Alméria,Vila Granada,38,1,0,Apartamento,1480,1757
Avenida Professor Luiz Ignácio Anhaia Mello,Vila Prudente,58,2,1,Apartamento,3880,4760
Rua Fábio,Chácara Belenzinho,55,2,1,Apartamento,1550,1610
Rua Belfort Matos,Vila Constança,100,3,1,Casa,2600,2710
Viaduto Nove de Julho,Centro,41,1,0,Studio e kitnet,1500,1924
Rua Felisbina Ferreira,Vila Carrão,48,2,1,Apartamento,1600,2062
Rua Turiassu,Perdizes,70,2,0,Casa,2150,2256
Rua Doutor Zuquim,Santana,42,1,1,Apartamento,2300,3049
Rua Tanque Velho,Vila Nivi,60,2,0,Casa,1350,1472
Avenida Padre Arlindo Vieira,Vila Vermelha,70,2,1,Apartamento,1266,1909
Rua Hermeto Lima,Vila Alpina,75,2,1,Apartamento,2600,3233
Rua Paulo Andrighetti,Jardim Brasília (zona Norte),73,3,1,Apartamento,2835,3649
Domingos Lopes da Silva,Vila Suzana,74,1,1,Studio e kitnet,1649,2474
Avenida José Galante,Vila Suzana,48,1,1,Apartamento,1971,2572
Rua Alaor Bronzone,Jardim Casablanca,43,1,0,Apartamento,1310,1360
Avenida Abílio Pereira de Almeida,Vila Sao Domingos,60,1,0,Casa,1000,1042
Rua Araquã,Bela Vista,45,1,1,Apartamento,2400,3193
Rua Planalto dos Acantilados,Parque Santa Madalena,125,2,1,Casa,1800,1876
Rua Bernardino Vergueiro,Jardim Jaú (zona Leste),45,2,0,Apartamento,1275,1525
Rua Leopoldo Miguez,Cambuci,62,3,1,Apartamento,1800,2286
Rua Maria Antônia,Vila Buarque,85,2,1,Apartamento,3500,4469
Avenida Duque de Caxias,República,45,1,0,Apartamento,1490,1789
Rua Doutor Tomás Carvalhal,Paraíso,55,1,0,Apartamento,3800,5467
Rua Curuçá,Vila Maria Baixa,40,1,0,Apartamento,1200,1646
Rua Uhland,Vila Ema,60,2,0,Apartamento,1750,1948
Rua Paulo de Avelar,Vila Dom Pedro Ii,72,2,1,Apartamento,2303,3512
Avenida Sebastião Henriques,Vila Siqueira (zona Norte),178,3,2,Casa,2800,3186
Rua Guaianases,Campos Elíseos,44,2,0,Apartamento,1400,1682
Rua Nestor Pestana,Consolação,55,1,0,Apartamento,1800,2259
Rua Congonhas,Rudge Ramos,78,3,1,Apartamento,1400,2159
Rua Mariano Procópio,Ipiranga,30,2,0,Apartamento,2800,3370
Rua dos Capuchinhos,Vila Alpina,125,3,2,Casa em condomínio,3950,4473
Rua Tenente Gelás,Tatuapé,90,3,2,Apartamento,2100,3387
Rua Matias Pachêco,Vila Palmeiras,100,2,1,Casa,1980,2139
Rua Virgínia,Vila Carrao,38,2,0,Apartamento,1350,1618
Rua Ituri,Vila Formosa,48,2,1,Apartamento,1750,2060
Rua Condeúba,Vila Santa Isabel,35,1,0,Apartamento,1270,1756
Avenida Curió,Campanário,55,2,1,Apartamento,1300,2076
Rua Orfanato,Vila Prudente,72,3,0,Apartamento,1800,2851
Rua Pierre de Beranger,Campo Grande,70,1,0,Casa,1500,1525
Rua Lefosse,Vila Invernada,38,2,1,Apartamento,1640,1961
Rua Israelândia,Jardim Santa Monica,48,1,0,Casa,1300,1322
Rua Pedro Bellegarde,Chácara Califórnia,57,2,1,Apartamento,2548,3066
Rua Doutor Penaforte Mendes,Bela Vista,41,1,1,Apartamento,3400,4278
Rua Ernesto Capelari,Parque Santos Dumont,58,2,2,Apartamento,1750,2685
Rua da Chibata,Vila Andrade,42,2,0,Apartamento,1330,1717
Avenida Vila Ema,Vila Ema,49,2,0,Apartamento,2400,2493
Rua Engenheiro Bianor,Butantã,50,2,0,Apartamento,4500,5461
Rua Doutor Fábio Montenegro,Vila Guilhermina,42,1,0,Apartamento,1940,2325
Rua Bruna,Chácara Mafalda,36,1,0,Apartamento,1500,1638
Rua Coronel Luís de Faria E Sousa,Vila do Encontro,45,1,1,Casa,1587,1765
Rua Augusto de Mendonça,Vila Dalila,50,2,1,Apartamento,1380,1519
Rua Francisco Alves Bezerra,Parque Edu Chaves,50,2,0,Casa em condomínio,1100,1197
Rua Piracuama,Pompeia,59,2,0,Apartamento,2800,3851
Rua Enótria,Vila Mazzei,41,1,1,Apartamento,1840,2212
Rua Jorge Tibiriçá,Vila Mariana,68,2,1,Apartamento,5700,6564
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,42,1,0,Apartamento,1950,2466
Rua Alexandre Ribeiro,Horto Florestal,40,1,0,Casa,874,1011
Rua Américo Brasiliense,Chácara Santo Antônio (zona Sul),51,2,2,Apartamento,3822,4860
Rua Terceiro-sargento João Soares de Faria,Parque Novo Mundo,51,2,1,Apartamento,1500,2175
Rua Itamonte,Vila Medeiros,50,1,0,Casa,900,938
Rua Cônego Vicente Miguel Marino,Barra Funda,79,3,1,Apartamento,5500,6723
Praça Quatorze Bis,Bela Vista,75,2,0,Apartamento,3300,4035
Rua Professor Arnaldo João Semeraro,Jardim Santa Emília,52,2,1,Apartamento,3000,3406
Rua Bragança Paulista,Vila Cruzeiro,76,3,1,Apartamento,4000,4983
Avenida Jabaquara,Mirandópolis,62,2,1,Apartamento,4500,5891
Rua Três Rios,Bom Retiro,40,2,0,Apartamento,1300,1690
Rua Engenheiro Bianor,Butantã,27,1,0,Studio e kitnet,3099,3639
Avenida Escragnolle Dória,Jardim Vila Formosa,30,1,0,Casa,1300,1355
Rua Irmã Filomena,Vila Nova Carolina,35,1,0,Apartamento,2142,2235
Praça Antônio Constantino,Vila Euthalia,42,1,0,Casa,1080,1098
Rua Rego Barros,Jardim Vila Formosa,34,2,1,Apartamento,1500,1720
Avenida Vereador José Diniz,Santo Amaro,42,1,1,Apartamento,3290,4101
Rua Nova Jerusalém,Chácara Santo Antônio (zona Leste),85,2,1,Apartamento,2350,3361
Rua Conselheiro Ramalho,Bela Vista,55,1,1,Apartamento,1444,2050
Rua Paulo Orozimbo,Cambuci,140,3,1,Casa,4500,4691
Rua Mere Marie Anais de Sion,Vila Cachoeira,56,2,1,Apartamento,1575,2321
Rua Martiniano de Carvalho,Bela Vista,45,1,0,Studio e kitnet,2400,2818
Avenida Amador Bueno da Veiga,Penha de França,34,1,1,Apartamento,1445,2214
Rua Marquês Itu,Vila Buarque,25,1,0,Studio e kitnet,1999,2526
Rua Domingos Afonso,Vila Santa Clara,63,2,1,Apartamento,4800,5607
Rua Bueno de Andrade,Liberdade,25,1,0,Apartamento,980,1578
Rua Helvétia,Campos Elíseos,56,1,0,Apartamento,1800,2289
Rua Benfica,Vila Medeiros,30,1,0,Casa,750,782
Rua dos Turumãs,Vila Parque Jabaquara,50,2,1,Apartamento,1890,2410
Rua Álvaro de Carvalho,Bela Vista,39,2,0,Apartamento,3650,4283
Rua Bitencourt Sampaio,Vila Mariana,67,3,2,Apartamento,4000,5439
Rua Francisco Coelho dos Santos Filho,Jardim Kuabara,45,1,0,Casa,1200,1285
Rua Vergueiro,Vila Firmiano Pinto,56,2,1,Apartamento,1650,2552
Avenida Professora Virgília Rodrigues Alves de Carvalho Pinto,Jardim Leonor Mendes de Barros,62,2,1,Apartamento,1445,1932
Avenida Inajar de Souza,Limão,45,2,1,Apartamento,1940,2395
Rua Dom Salomão Ferraz,Vila Andrade,54,2,1,Apartamento,2000,2697
Rua Padre Lebret,Jardim Leonor,120,2,2,Apartamento,3993,5836
Rua Conselheiro Ramalho,Bela Vista,45,1,1,Apartamento,2500,3196
Rua Clímaco Barbosa,Cambuci,36,1,0,Apartamento,1550,1960
Rua Marquês de Lages,Vila das Merces ,54,2,1,Apartamento,2420,3015
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,42,1,1,Apartamento,1950,2476
Rua Bom Pastor,Ipiranga,34,1,1,Apartamento,2340,3121
Rua do Símbolo,Jardim Ampliacao,75,2,2,Apartamento,2452,3334
Rua Peixoto Gomide,Jardim Paulista,54,1,1,Apartamento,4500,5573
Rua Cajaíba,Vila Pompéia,62,2,2,Apartamento,3500,5075
Rua Ribeirão Branco,Vila Bertioga,39,2,0,Apartamento,2430,2661
Rua Bela Cintra,Consolação,45,1,1,Apartamento,2443,3017
Rua Vieira de Morais,Campo Belo,42,1,1,Studio e kitnet,3800,4806
Avenida Santo Amaro,Santo Amaro,153,2,0,Casa,3750,4185
Rua São Francisco,Sé,30,1,0,Apartamento,903,1425
Rua Bueno de Andrade,Aclimação,38,1,0,Apartamento,1850,2363
Avenida Damasceno Vieira,Vila Mascote,54,2,1,Apartamento,1920,2756
Rua Iguatemi,Itaim Bibi,73,2,1,Apartamento,3650,4991
Rua das Perdizes,Barra Funda,85,3,0,Apartamento,2595,3382
Avenida Elísio Teixeira Leite,Sítio Morro Grande,56,2,1,Apartamento,2500,2796
Rua Marquês de Itu,Vila Buarque,33,1,1,Apartamento,1310,2184
Rua Álvaro de Carvalho,Consolação,38,2,0,Apartamento,2500,3239
"R. Conselheiro Moreira de Barros - Santana, São Paulo - Sp, Brasil",Santana,140,3,3,Apartamento,3000,5203
Rua Ângelo David Thomé,Rudge Ramos,150,3,1,Apartamento,2650,3156
Alameda Eduardo Prado,Campos Elíseos,29,1,1,Apartamento,1460,1995
Avenida Eulália,Vila Fachini,100,4,1,Casa,1980,2064
Rua Conde Luiz Eduardo Matarazzo,Vila São Silvestre,55,2,1,Apartamento,1100,1811
Alameda Eduardo Prado,Campos Elíseos,32,1,1,Studio e kitnet,1150,1714
Rua Dom Macário,Saúde,54,2,1,Apartamento,1200,1587
Rua Fábio Lopes dos Santos Luz,Panamby,57,2,1,Apartamento,4000,5113
Avenida Senador Queirós,Centro Histórico de São Paulo,25,1,0,Studio e kitnet,1810,2425
Rua Ribeirão Branco,Vila Bertioga,40,2,1,Apartamento,2590,2823
Rua das Palmeiras,Vila Buarque,59,2,1,Apartamento,5000,5855
Rua Martim Francisco,Vila Buarque,48,1,1,Apartamento,1685,2658
Rua Correia da Câmara,Vila Tolstoi,38,2,1,Apartamento,2100,2631
Rua Céu Tropical,Conjunto Residencial Jardim Canaã,133,2,2,Casa,3500,3654
Rua Alonso Peres,Vila Sabrina,45,1,0,Casa,1100,1227
Rua Alencar Araripe,Sacomã,54,2,1,Apartamento,1100,1914
Avenida Gaivota Preta,Jardim Valeria,50,2,1,Apartamento,1500,1788
Rua Clodomiro Amazonas,Vila Olímpia,90,2,0,Apartamento,3500,4352
Rua Íon Andresco,Vila Progresso (zona Norte),50,1,0,Casa,813,848
Avenida Rotary,Vila das Bandeiras,39,2,0,Apartamento,1650,2022
Rua Guaíra,Jardim Barbosa,103,3,2,Apartamento,4500,5384
Rua Coronel Mursa,Brás,35,2,0,Apartamento,2408,2985
Rua Doutor Elias Chaves,Campos Elíseos,37,1,0,Studio e kitnet,1740,2093
Avenida Jacutinga,Indianópolis,50,1,1,Apartamento,4100,5572
Alameda dos Pinheiros,Campestre,20,1,0,Studio e kitnet,900,935
Rua Rita Joana de Sousa,Brooklin Novo,175,3,3,Casa,6600,7192
Rua Paschoalina Belloti,Jardim City,42,2,1,Apartamento,1320,1751
Rua Jandaia,Bela Vista,41,1,0,Apartamento,1545,1996
Rua Luís Romanini,Vila Anadir,30,1,0,Studio e kitnet,1100,1142
Rua Joaquim Távora,Vila Mariana,28,1,0,Apartamento,3500,3895
Rua Hayden,Vila Leopoldina,87,2,0,Apartamento,2000,2833
Rua Azevedo Macedo,Vila Mariana,28,1,0,Apartamento,3450,4133
Rua Professor José Maria Calazans Nogueira,Parque São Domingos,59,2,1,Apartamento,3800,4714
Rua Florêncio de Abreu,Centro Histórico de São Paulo,23,1,0,Studio e kitnet,1900,2275
Rua Pedro Madureira,Jardim São Paulo(zona Norte),78,2,1,Apartamento,1800,2404
Rua Orindiúva,Vila Maria Alta,68,3,1,Apartamento,2910,3523
Avenida Nelson Palma Travassos,Jardim Pirituba,45,2,0,Apartamento,1865,2327
Avenida Aratãs,Indianópolis,72,2,1,Apartamento,4500,5555
Rua João Veloso de Oliveira,Parque Sao Domingos,75,2,2,Casa em condomínio,2000,2650
Rua Taváres Bastos,Pompeia,130,4,3,Apartamento,6200,8746
Rua Tapendi,Vila Catupia,120,3,2,Casa,3490,3649
Rua Dona Antônia de Queirós,Consolação,40,1,1,Apartamento,2801,3664
Rua Peixoto Gomide,Jardim Paulista,25,1,0,Studio e kitnet,2200,2796
Rua Castro Alves,Aclimação,69,2,1,Apartamento,3250,4736
Avenida Santa Catarina,Vila Mascote,55,1,1,Apartamento,2150,2831
Alameda Ribeiro da Silva,Campos Elíseos,42,1,0,Studio e kitnet,1000,1605
Rua Enótria,Vila Mazzei,29,1,0,Studio e kitnet,1325,1846
Rua Rio Verde,Vila Bruna,56,2,1,Apartamento,1800,2469
Rua Eugênio de Medeiros,Pinheiros,60,1,2,Apartamento,6200,7830
Rua Doutora Neyde Apparecida Sollitto,Vila Clementino,35,1,0,Studio e kitnet,1200,1216
Rua Parambu,Parque Vitoria,47,2,1,Apartamento,3488,4273
Rua Pangaré,Vila Butantã,40,2,1,Apartamento,1600,2096
Rua Jovina,Vila Mascote,30,1,0,Apartamento,1730,1922
Rua Franklin do Amaral,Vila Nova Cachoeirinha,47,2,1,Apartamento,2220,2765
Avenida Santo Amaro,Vila Nova Conceição,28,1,0,Apartamento,4100,4642
Avenida João Barreto de Menezes,Vila Santa Catarina,61,2,1,Apartamento,2800,3702
